OBJECTID,NAME,PollingPlaceID,PrecinctCode,ShapeSTArea,ShapeSTLength
153,Duluth P-18,14404,0240,19446541.9487026,23716.0546054167
154,Duluth P-07,13979,0170,3124593.63160934,10078.7281899859
155,Duluth P-06,16353,0165,7185553.30838512,13276.7980936975
156,Duluth P-13,14881,0205,3010921.04985905,7674.94263979397
157,Duluth P-09,15187,0180,1194966.0493512,5421.31291481325
158,Duluth P-08,13458,0175,5208063.6173499,10727.6371767505
159,Duluth P-32,30619,0315,13851257.0942347,21988.6929612062
160,Duluth P-31,12795,0305,7721194.67777922,13465.1896424696
161,Duluth P-30,13690,0300,5243697.96331063,13924.3022987648
162,Duluth P-29,32541,0295,1442337.85339987,5846.64155148537
163,Duluth P-28,26667,0290,7437396.95762017,13115.1943735567
164,Duluth P-22,13613,0260,7221169.38936728,13457.0627046913
165,Duluth P-11,30614,0195,15083436.4952398,18608.3310768173
166,Duluth P-16,13875,0220,3081311.50003906,8223.93625558962
167,Duluth P-15,15147,0215,1320148.66453558,5187.39473081168
168,Duluth P-14,30616,0210,1748424.09322298,6506.15330869433
169,Duluth P-12,26664,0200,691903.165284515,4696.04887520674
170,Duluth P-10,16093,0190,1155240.32991126,4338.89699114098
178,Duluth P-35,15792,0330,3615000.89776968,15339.3294735763
